Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2021-03-01,3243,116,16.6,14.2,3.6,5,2.7
2021-05-01,3243,50.5,11.9,11.7,4,15,3.1
2021-11-01,3243,79,16,14.3,4.4,13,2.2
2021-10-01,3243,76.5,13.7,12.8,4.2,15,2.3
2021-09-01,3243,141.1,10.8,10.4,5.2,20,2.2
2022-04-01,3243,14.2,14.3,13.4,3.5,11,2.8
2022-08-01,3243,129.6,10.4,10.7,3.5,10,2.9
2022-12-01,3243,80.7,17.6,15.7,4.4,13,1.8
2022-02-01,3243,170.7,18.9,16.5,4.7,15,2.9
2022-01-01,3243,22.9,18.7,15.7,4.6,14,2.1
2022-07-01,3243,174,10.3,10.2,4.8,19,2.3
2022-06-01,3243,141,10.7,10.4,3.8,11,2.3
2022-03-01,3243,64.4,17.3,14.5,4.7,18,2.2
2022-05-01,3243,-,12.4,12.4,3.4,6,3
2022-11-01,3243,125.6,16.3,14.5,4.9,19,1.3
2022-10-01,3243,53.7,12.5,11.4,4.8,18,2.9
2022-09-01,3243,79.4,11.5,11,4.4,15,2.1
2023-04-01,3243,91.3,15.1,14,4.1,18,2.4
2023-08-01,3243,96.6,8.1,9.4,2.9,4,2.1
2023-12-01,3243,97.5,17.9,15.8,4.5,17,2.6
2023-02-01,3243,100.4,18.7,16.7,4.5,15,2.5
2023-01-01,3243,99.6,19,16.5,5.3,21,1.8
2023-07-01,3243,65.3,9.9,10.6,4.3,17,1.8
2023-06-01,3243,27.3,10.7,10.9,4.5,17,2.4
2023-03-01,3243,52,16.3,14.1,3.8,16,3
2023-05-01,3243,88.3,13,12.9,3.1,8,3.3
2023-11-01,3243,-,14.5,12.8,4.4,-,2.1
2023-10-01,3243,79.4,12.7,11.7,5.1,20,2.6
2023-09-01,3243,77.8,12.1,11.5,5.3,21,1.8
2024-04-01,3243,52.9,14,13,3.3,8,2.3
2024-08-01,3243,-,-,-,-,-,-
2024-12-01,3243,-,-,-,-,-,-
2024-02-01,3243,53.6,17.9,15.2,4.4,16,2.1
2024-01-01,3243,28.6,19.5,16.8,4.2,13,2.8
2024-07-01,3243,71.1,9.1,9.6,3,5,2.1
2024-06-01,3243,42.3,10.4,10.4,3.6,11,1.7
2024-03-01,3243,76.7,14.9,13.2,4.4,18,2.7
2024-05-01,3243,69.6,9.9,10.4,3.2,12,2.2
2024-11-01,3243,-,-,-,-,-,-
2024-10-01,3243,-,-,-,-,-,-
2024-09-01,3243,-,-,-,-,-,-
2010-04-01,3445,27.2,15.7,13.1,7.4,26,2.2
2010-08-01,3445,165.8,10.8,10.8,6.9,24,1.5
2010-12-01,3445,91,17.3,15.9,7.3,-,2.1
2010-02-01,3445,16.8,17.9,15.8,6.5,-,1.8
2010-01-01,3445,72.8,16.8,14.6,7.5,22,2.6
2010-07-01,3445,92.4,8.4,9.4,5.5,16,1.7
2010-06-01,3445,140.8,10.3,10.6,6.2,21,1.6
2010-03-01,3445,34.2,16.9,13.3,7.2,28,2.1
2010-05-01,3445,171.4,12.7,12.1,6.2,18,1.7
2010-11-01,3445,21.4,15,12.9,6.9,19,2.4
2010-10-01,3445,71.8,12.1,10.7,7.3,23,1.6
2010-09-01,3445,151.6,12.4,10.9,7.5,26,1.7
2011-04-01,3445,118.6,14,13.1,7.3,22,2.4
2011-08-01,3445,104.4,9.6,9.3,7,20,2.5
2011-12-01,3445,121.6,15.9,13.3,5.9,19,2.4
2011-02-01,3445,18.2,18.5,17.2,6.6,22,1.6
2011-01-01,3445,65.6,17.7,16,7.4,27,2.4
2011-07-01,3445,71.8,9.8,8.9,7.3,26,1.9
2011-06-01,3445,86.8,11.2,10.9,5.7,19,1.5
2011-03-01,3445,77,16.5,15.4,6.5,22,2.3
2011-05-01,3445,106.4,14.2,13.8,6,20,1.8
2011-11-01,3445,57.6,14.2,10.9,7.3,-,1.5
2011-10-01,3445,97.8,13,11.1,6.8,23,2
2011-09-01,3445,55.6,10.9,9.4,6,20,1.6
2012-04-01,3445,43.1,14.4,12.6,6.2,23,1.2
2012-08-01,3445,108,10.8,10.4,4.1,13,1.4
2012-12-01,3445,49.6,17.4,14.3,7.4,24,2.3
2012-02-01,3445,44.8,16.9,13.6,5.7,18,1.5
2012-01-01,3445,81.4,16.8,13.3,7.9,27,2
2012-07-01,3445,78.8,9.9,9.2,5.5,14,2
2012-06-01,3445,101.4,9.7,8.9,7.5,25,1.7
2012-03-01,3445,111,15.1,12.6,7.4,26,1.8
2012-05-01,3445,66.6,11.5,10.4,6.5,21,2
2012-11-01,3445,21.4,13.8,10.4,6.9,24,2.2
2012-10-01,3445,45.6,13.2,10.2,7.4,26,1.9
2012-09-01,3445,46.2,11.9,9.7,6.9,22,2.3
2013-04-01,3445,66.1,15.8,13.8,6.1,23,2.1
2013-08-01,3445,65.8,11.7,11.1,5.4,20,1.6
2013-12-01,3445,31,17.6,14.8,7.3,26,1.4
2013-02-01,3445,54,17.8,14.7,6.4,16,2
2013-01-01,3445,75.2,18.1,14.3,7.1,25,1.8
2013-07-01,3445,114,10.9,10.7,7.3,24,2
2013-06-01,3445,173.6,10.7,11.1,6.7,-,2.4
2013-03-01,3445,70,17.3,14.9,5.9,20,1.9
2013-05-01,3445,118.5,12.8,11.7,6,-,1.6
2013-11-01,3445,77.3,15.2,13.7,6.9,21,2
2013-10-01,3445,120.3,13.5,12.1,8.5,29,2
2013-09-01,3445,108.4,11.9,10.8,7.7,27,2.1
2014-04-01,3445,130.7,15.2,14.2,6.8,22,1.7
2014-08-01,3445,56.9,9.5,9.4,7.1,21,1.9
2014-12-01,3445,73,16.2,14,6.7,22,2.5
2014-02-01,3445,22.2,17.3,15,7,-,1.8
2014-01-01,3445,99.8,17,13.5,8.1,-,1.6
2014-07-01,3445,70,9.8,9.4,7.6,26,2
2014-06-01,3445,67.6,11.7,11.4,5.4,17,2.2
2014-03-01,3445,43.2,16,13.7,7,24,2.4
2014-05-01,3445,49.6,13,12,7.3,25,2.3
2014-11-01,3445,32.8,14.5,11.1,8.3,28,2.2
2014-10-01,3445,45.2,12.8,10.9,7.2,24,1.8
2014-09-01,3445,81.8,11.7,10.3,7,23,2
2015-04-01,3445,128.6,14.9,13,7.5,25,2.5
2015-08-01,3445,60.2,10.2,9.8,7.3,23,2.2
2015-12-01,3445,14.6,15.8,12.9,7,24,2
2015-02-01,3445,22.2,17.4,13.7,7.4,22,2.4
2015-01-01,3445,2.2,18.8,15.1,6.4,21,1.7
2015-07-01,3445,91.8,9.5,9,7.7,26,2.1
2015-06-01,3445,97.4,10.6,9.7,7.4,26,2.2
2015-03-01,3445,62.8,17.3,15.1,6.8,20,2.5
2015-05-01,3445,110.4,12.9,11.6,7.5,29,2.9
2015-11-01,3445,37,13.9,11.6,8.3,27,2.3
2015-10-01,3445,17.6,13.3,10.8,7.8,28,1.4
2015-09-01,3445,58.4,10.6,9.7,8.1,26,1.6
2016-04-01,3445,32.8,15.4,12.8,6.1,16,1.9
2016-08-01,3445,119.6,9.4,9.2,5.6,-,1.9
2016-12-01,3445,74.6,16.1,13.1,7.3,25,1.7
2016-02-01,3445,25.4,20.2,17,7.4,25,1.4
